surname,points
Verstappen,454.0
Hamilton,413.0
Vettel,397.0
Rosberg,385.0
Bottas,326.0
Leclerc,308.0
Pérez,305.0
Alonso,278.0
Russell,275.0
Button,270.0
Webber,258.0
Ricciardo,256.0
Räikkönen,251.0
Sainz,246.0
Norris,160.0
Schumacher,148.0
Massa,144.0
Kubica,136.0
Grosjean,132.0
Barrichello,114.0
Gasly,110.0
Mansell,108.0
Albon,105.0
Häkkinen,100.0
Prost,99.0
Hill,97.0
Hülkenberg,96.0
Senna,96.0
Kvyat,95.0
Ocon,92.0
Pablo Montoya,82.0
Villeneuve,81.0
Stroll,75.0
Irvine,74.0
Piquet,73.0
Coulthard,73.0
Lauda,72.0
Fisichella,72.0
Stewart,71.0
Hunt,69.0
Jones,67.0
Andretti,64.0
Heidfeld,61.0
Fittipaldi,61.0
Kobayashi,60.0
Schumacher,58.0
Patrese,56.0
Magnussen,56.0
Scheckter,55.0
Clark,54.0
Frentzen,54.0
Alboreto,53.0
Kovalainen,53.0
Regazzoni,52.0
Peterson,52.0
Hulme,51.0
Berger,49.0
Arnoux,49.0
Reutemann,49.0
Hill,48.0
di Resta,48.0
Sutil,47.0
Alesi,47.0
Cevert,47.0
Villeneuve,47.0
Trulli,46.0
Brabham,46.0
Rindt,45.0
Herbert,45.0
Maldonado,45.0
Rosberg,44.0
Laffite,44.0
Fangio,42.0
Hawthorn,42.0
Moss,41.0
Surtees,40.0
Tambay,40.0
Ickx,40.0
Pironi,39.0
Watson,39.0
Depailler,39.0
Revson,38.0
Brundle,38.0
Boutsen,37.0
Petrov,37.0
Ascari,36.0
Piastri,34.0
Sato,34.0
Hill,34.0
McLaren,34.0
de Angelis,34.0
von Trips,33.0
Tsunoda,32.0
Nannini,32.0
Senna,31.0
Johansson,30.0
Farina,30.0
Ginther,29.0
Nasr,27.0
Brooks,27.0
Alguersuari,26.0
González,25.14
Collins,25.0
Gurney,25.0
Mass,25.0
Glock,25.0
Pace,24.0
Fagioli,24.0
Warwick,23.0
Rodríguez,23.0
Amon,23.0
Bandini,23.0
Vergne,22.0
Taruffi,22.0
Behra,22.0
Cheever,22.0
Liuzzi,21.0
Beltoise,21.0
Nilsson,20.0
Siffert,19.0
Piquet Jr.,19.0
Trintignant,19.0
de la Rosa,19.0
Ireland,18.0
Villoresi,17.0
Wurz,17.0
Capelli,17.0
Courage,16.0
Panis,16.0
Musso,16.0
Buemi,15.0
de Cesaris,15.0
Salvadori,15.0
Schell,14.0
Giovinazzi,14.0
Jarier,14.0
Vandoorne,13.0
Rosier,13.0
Hailwood,13.0
Blundell,13.0
Maggs,13.0
Kling,12.0
Schumacher,12.0
Parkes,12.0
Castellotti,12.0
Fabi,12.0
Stuck,12.0
Arundell,11.0
Rebaque,11.0
Lewis-Evans,11.0
Bonnier,10.0
Gendebien,10.0
Gregory,10.0
Fischer,10.0
Stommelen,10.0
Pryce,10.0
Spence,10.0
da Matta,10.0
Salo,10.0
Modena,10.0
Verstappen,10.0
Gethin,9.0
Ericsson,9.0
Vukovich,9.0
Klien,9.0
Wisell,9.0
Nakajima,9.0
Baghetti,9.0
Scarfiotti,9.0
Wallard,9.0
Manzon,9.0
Jabouille,9.0
Parsons,9.0
Moreno,8.0
Ruttman,8.0
Sweikert,8.0
Palmer,8.0
Flaherty,8.0
Ward,8.0
Pescarolo,8.0
Daly,8.0
Herrmann,8.0
Rathmann,8.0
Hanks,8.0
Bryan,8.0
Bonetto,7.0
Wendlinger,7.0
Andretti,7.0
Latifi,7.0
Mieres,7.0
de Graffenried,7.0
Giacomelli,7.0
Monteiro,7.0
Nakajima,7.0
Palmer,7.0
Brambilla,6.5
Suzuki,6.0
Love,6.0
Zhou,6.0
Fittipaldi,6.0
Pizzonia,6.0
Merzario,6.0
Larini,6.0
Nazaruk,6.0
Taylor,6.0
Cross,6.0
Amick,6.0
Gutiérrez,6.0
Frère,6.0
Attwood,6.0
Allison,6.0
Servoz-Gavin,6.0
Oliver,6.0
Holland,6.0
Martini,6.0
Godia,6.0
Gugelmin,5.0
Bianchi,5.0
Katayama,5.0
Karthikeyan,5.0
Schenken,5.0
Ganley,5.0
Thomson,5.0
Morbidelli,5.0
Surer,5.0
Bernard,5.0
Parnell,5.0
McGrath,5.0
Wehrlein,5.0
Bira,5.0
Fairman,5.0
Anderson,5.0
Järvilehto,5.0
Follmer,5.0
Elford,5.0
Marimón,4.14
Rose,4.0
Caffi,4.0
Bettenhausen,4.0
Boyd,4.0
Chiron,4.0
Menditeguy,4.0
Donohue,4.0
Whitehead,4.0
Mairesse,4.0
Albers,4.0
Goldsmith,4.0
Redman,4.0
Gené,4.0
Gachot,4.0
